CUnm CUid Byr Sp Rec_total Rec_Age3 Rec_Age4 MS_Age3 MS_Age4 ER_Age3 ER_Age4
Middle_Fraser 1 1998 4851 5562 5361 201 0.041 0.034 0.071 0.078
Middle_Fraser 1 1999 1652 4475 4175 300 0.034 0.013 0.078 0.129
Middle_Fraser 1 2000 3920 4409 4074 335 0.013 0.012 0.129 0.131
Middle_Fraser 1 2001 6162 5385 5145 240 0.012 0.008 0.131 0.13
Middle_Fraser 1 2002 4170 2390 2276 114 0.008 0.003 0.13 0.094
Middle_Fraser 1 2003 3809 2395 1322 1073 0.003 0.012 0.094 0.112
Middle_Fraser 1 2004 4760 10335 10141 194 0.012 0.006 0.112 0.098
Middle_Fraser 1 2005 2189 1788 1429 359 0.006 0.011 0.098 0.115
Middle_Fraser 1 2006 1301 2481 2247 234 0.011 0.01 0.115 0.104
Middle_Fraser 1 2007 9958 5525 5000 525 0.01 0.014 0.104 0.126
Middle_Fraser 1 2008 1464 4536 3963 573 0.014 0.013 0.126 0.112
Middle_Fraser 1 2009 2306 8604 7452 1152 0.013 0.01 0.112 0.162
Middle_Fraser 1 2010 4689 13202 12710 492 0.01 0.021 0.162 0.318
Middle_Fraser 1 2011 3920 4349 4026 323 0.021 0.008 0.318 0.178
Middle_Fraser 1 2012 7126 5058 1324 3734 0.008 0.014 0.178 0.073
Middle_Fraser 1 2013 11625 12033 11007 1026 0.014 0.011 0.073 0.097
Middle_Fraser 1 2014 3081 5019 3404 1615 0.011 0.02 0.097 0.15
Fraser_Canyon 2 1998 5460 5711 5521 190 0.041 0.034 0.071 0.078
Fraser_Canyon 2 1999 4096 4310 3951 359 0.034 0.013 0.078 0.129
Fraser_Canyon 2 2000 2719 5281 4868 413 0.013 0.012 0.129 0.131
Fraser_Canyon 2 2001 5971 6595 6347 248 0.012 0.008 0.131 0.13
Fraser_Canyon 2 2002 3817 2501 2360 141 0.008 0.003 0.13 0.094
Fraser_Canyon 2 2003 4552 1926 1631 295 0.003 0.012 0.094 0.112
Fraser_Canyon 2 2004 5872 2940 2789 151 0.012 0.006 0.112 0.098
Fraser_Canyon 2 2005 2269 1471 1111 360 0.006 0.011 0.098 0.115
Fraser_Canyon 2 2006 1605 2359 2248 111 0.011 0.01 0.115 0.104
Fraser_Canyon 2 2007 2739 2801 2374 427 0.01 0.014 0.104 0.126
Fraser_Canyon 2 2008 1138 3659 3220 439 0.014 0.013 0.126 0.112
Fraser_Canyon 2 2009 2308 5877 5342 535 0.013 0.01 0.112 0.162
Fraser_Canyon 2 2010 2227 6075 5908 167 0.01 0.021 0.162 0.318
Fraser_Canyon 2 2011 3189 1454 1370 84 0.021 0.008 0.318 0.178
Fraser_Canyon 2 2012 5134 661 344 317 0.008 0.014 0.178 0.073
Fraser_Canyon 2 2013 5398 1359 934 425 0.014 0.011 0.073 0.097
Fraser_Canyon 2 2014 1048 3650 1410 2240 0.011 0.02 0.097 0.15
Lower_Thompson 3 1998 2165 4813 4433 380 0.041 0.034 0.071 0.078
Lower_Thompson 3 1999 3992 4648 4437 211 0.034 0.013 0.078 0.129
Lower_Thompson 3 2000 4739 2400 2194 206 0.013 0.012 0.129 0.131
Lower_Thompson 3 2001 9522 2650 2440 210 0.012 0.008 0.131 0.13
Lower_Thompson 3 2002 16053 2105 1999 106 0.008 0.003 0.13 0.094
Lower_Thompson 3 2003 2933 2139 1231 908 0.003 0.012 0.094 0.112
Lower_Thompson 3 2004 4304 9299 8581 718 0.012 0.006 0.112 0.098
Lower_Thompson 3 2005 2614 3668 3085 583 0.006 0.011 0.098 0.115
Lower_Thompson 3 2006 1082 5059 3643 1416 0.011 0.01 0.115 0.104
Lower_Thompson 3 2007 10169 11375 10951 424 0.01 0.014 0.104 0.126
Lower_Thompson 3 2008 3800 7501 6950 551 0.014 0.013 0.126 0.112
Lower_Thompson 3 2009 4768 11717 11305 412 0.013 0.01 0.112 0.162
Lower_Thompson 3 2010 12217 14189 13199 990 0.01 0.021 0.162 0.318
Lower_Thompson 3 2011 7289 9162 8103 1059 0.021 0.008 0.318 0.178
Lower_Thompson 3 2012 11559 12004 4343 7661 0.008 0.014 0.178 0.073
Lower_Thompson 3 2013 11887 7625 5931 1694 0.014 0.011 0.073 0.097
Lower_Thompson 3 2014 7447 6912 2542 4370 0.011 0.02 0.097 0.15
North_Thompson 4 1998 9786 22526 22526 0 0.041 0.034 0.071 0.078
North_Thompson 4 1999 10696 21003 20803 200 0.034 0.013 0.078 0.129
North_Thompson 4 2000 8054 7674 6912 762 0.013 0.012 0.129 0.131
